id,name,area,sub,skill_type,t_category,confidence,rationale,area_proxy_t,review_flag
AIPRO-AIA-001,AI-Assisted Data Analysis,AI-Augmented Practice,AI-Augmented Analysis,Technical,digital,high,explicit rubric anchor/edge-case decision,digital,
AIPRO-AIA-002,AI-Assisted Quality Analysis,AI-Augmented Practice,AI-Augmented Analysis,Technical,digital,high,"digital tech build/operate signal (area=AI-Augmented Practice, kw=True)",digital,
AIPRO-AIA-003,Predictive Analytics Interpretation,AI-Augmented Practice,AI-Augmented Analysis,Technical,digital,high,"digital tech build/operate signal (area=AI-Augmented Practice, kw=True)",digital,
AIPRO-AIC-001,AI-Augmented Communication,AI-Augmented Practice,AI-Enabled Collaboration,,digital,high,"digital tech build/operate signal (area=AI-Augmented Practice, kw=True)",digital,
AIPRO-AIC-002,AI-Assisted Training & Knowledge Transfer,AI-Augmented Practice,AI-Enabled Collaboration,Behavioral,digital,high,"digital tech build/operate signal (area=AI-Augmented Practice, kw=True)",digital,
AIPRO-AIG-001,AI Tool Evaluation & Selection,AI-Augmented Practice,AI Strategy & Governance,,digital,high,"digital tech build/operate signal (area=AI-Augmented Practice, kw=True)",digital,
AIPRO-AIG-002,AI Use Case Identification,AI-Augmented Practice,AI Strategy & Governance,,digital,high,"digital tech build/operate signal (area=AI-Augmented Practice, kw=True)",digital,
AIPRO-AIG-003,AI Ethics & Governance Advocacy,AI-Augmented Practice,AI Strategy & Governance,,adaptive,high,explicit rubric anchor/edge-case decision,digital,REVIEW
CI-KAI-008,Kaizen Event Facilitation,Continuous Improvement,Kaizen & Problem Solving,Behavioral,process,high,"improvement/methodology signal (area=Continuous Improvement, kw=True)",process,
CI-KAI-009,A3 Problem Solving,Continuous Improvement,Kaizen & Problem Solving,Technical,process,high,explicit rubric anchor/edge-case decision,process,
CI-KAI-010,Root Cause Analysis (CI),Continuous Improvement,Kaizen & Problem Solving,Technical,process,high,"improvement/methodology signal (area=Continuous Improvement, kw=True)",process,
CI-KAI-011,PDCA Cycle Application,Continuous Improvement,Kaizen & Problem Solving,Behavioral,process,medium,"improvement/methodology signal (area=Continuous Improvement, kw=False)",process,
CI-LN-001,Lean Principles Application,Continuous Improvement,Lean Fundamentals,Behavioral,process,high,"improvement/methodology signal (area=Continuous Improvement, kw=True)",process,
CI-LN-002,5S Implementation,Continuous Improvement,Lean Fundamentals,Operational,process,high,explicit rubric anchor/edge-case decision,process,
CI-LN-003,Standard Work Development,Continuous Improvement,Lean Fundamentals,Operational,process,high,"improvement/methodology signal (area=Continuous Improvement, kw=True)",process,
CI-LN-004,Visual Management,Continuous Improvement,Lean Fundamentals,Operational,process,medium,"improvement/methodology signal (area=Continuous Improvement, kw=False)",process,
CI-MGT-015,Improvement Project Management,Continuous Improvement,CI Management,Operational,process,medium,"improvement/methodology signal (area=Continuous Improvement, kw=False)",process,
CI-MGT-016,CI Results Tracking & Reporting,Continuous Improvement,CI Management,Operational,process,medium,"improvement/methodology signal (area=Continuous Improvement, kw=False)",process,
CI-MGT-017,Change Sustainment,Continuous Improvement,CI Management,Behavioral,process,high,"improvement/methodology signal (area=Continuous Improvement, kw=True)",process,
CI-MGT-018,CI Culture Development,Continuous Improvement,CI Management,Behavioral,process,high,explicit rubric anchor/edge-case decision,process,
CI-SIX-012,Statistical Process Control,Continuous Improvement,Six Sigma & Data,Technical,process,high,"improvement/methodology signal (area=Continuous Improvement, kw=True)",process,
