id,name,area,sub,skill_type,desc
AIPRO-AIA-001,AI-Assisted Data Analysis,AI-Augmented Practice,AI-Augmented Analysis,Technical,Has foundational knowledge of ai-assisted data analysis and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
AIPRO-AIA-002,AI-Assisted Quality Analysis,AI-Augmented Practice,AI-Augmented Analysis,Technical,Has foundational knowledge of ai-assisted quality analysis and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
AIPRO-AIA-003,Predictive Analytics Interpretation,AI-Augmented Practice,AI-Augmented Analysis,Technical,Has foundational knowledge of predictive analytics interpretation and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
AIPRO-AIC-001,AI-Augmented Communication,AI-Augmented Practice,AI-Enabled Collaboration,,Recognizes the value of ai-augmented communication and understands how it contributes to professional effectiveness. Is developing foundational capabilities and applies basic concepts with guidance.
AIPRO-AIC-002,AI-Assisted Training & Knowledge Transfer,AI-Augmented Practice,AI-Enabled Collaboration,Behavioral,Recognizes the value of ai-assisted training & knowledge transfer and understands how it contributes to professional effectiveness. Is developing foundational capabilities and applies basic concepts with guidance.
AIPRO-AIG-001,AI Tool Evaluation & Selection,AI-Augmented Practice,AI Strategy & Governance,,Recognizes the value of ai tool evaluation & selection and understands how it contributes to professional effectiveness. Is developing foundational capabilities and applies basic concepts with guidance.
AIPRO-AIG-002,AI Use Case Identification,AI-Augmented Practice,AI Strategy & Governance,,Recognizes the value of ai use case identification and understands how it contributes to professional effectiveness. Is developing foundational capabilities and applies basic concepts with guidance.
AIPRO-AIG-003,AI Ethics & Governance Advocacy,AI-Augmented Practice,AI Strategy & Governance,,Recognizes the value of ai ethics & governance advocacy and understands how it contributes to professional effectiveness. Is developing foundational capabilities and applies basic concepts with guidance.
CI-KAI-008,Kaizen Event Facilitation,Continuous Improvement,Kaizen & Problem Solving,Behavioral,Recognizes the importance of kaizen event facilitation and understands what good practice looks like. Demonstrates this behavior in familiar situations and seeks feedback to improve.
CI-KAI-009,A3 Problem Solving,Continuous Improvement,Kaizen & Problem Solving,Technical,Has foundational knowledge of a3 problem solving and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
CI-KAI-010,Root Cause Analysis (CI),Continuous Improvement,Kaizen & Problem Solving,Technical,Has foundational knowledge of root cause analysis (ci) and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
CI-KAI-011,PDCA Cycle Application,Continuous Improvement,Kaizen & Problem Solving,Behavioral,Consistently models exemplary pdca cycle application and is recognized as a standard-setter in this area. Ensures changes are validated with data before being standardized. Coaches others
CI-LN-001,Lean Principles Application,Continuous Improvement,Lean Fundamentals,Behavioral,Recognizes the importance of lean principles application and understands what good practice looks like. Demonstrates this behavior in familiar situations and seeks feedback to improve.
CI-LN-002,5S Implementation,Continuous Improvement,Lean Fundamentals,Operational,Understands the purpose and basic steps involved in 5s implementation. Can complete routine tasks with clear instructions and support from experienced team members.
CI-LN-003,Standard Work Development,Continuous Improvement,Lean Fundamentals,Operational,Optimizes processes and sets organizational standards for standard work development. Ensures standard work is followed and updated as improvements are made. Identifies improvement opportunities
